day,users,revenue,server_delay,anomaly,future_failure
2024-01-01,1049.6714153011233,4799.389764057082,205.87535765293046,0,0.0
2024-01-02,986.1735698828816,5112.046240905209,170.64881667154904,0,0.0
2024-01-03,1064.7688538100692,5006.296200390898,212.24758267143415,0,0.0
2024-01-04,1152.3029856408025,5048.838049274415,148.92249187286478,0,0.0
2024-01-05,976.5846625276664,4613.495108072267,230.8746691197693,0,0.0
2024-01-06,976.586304305082,5012.255087129472,214.17792447239128,0,0.0
2024-01-07,1157.9212815507392,5248.999145622725,207.68089202941627,0,0.0
2024-01-08,1076.7434729152908,5725.571803897521,229.48072951836542,0,0.0
2024-01-09,953.0525614065048,5479.635413042603,249.9642333338773,0,0.0
2024-01-10,1054.2560043585966,6076.5912287557785,230.4311019505439,0,0.0
2024-01-11,953.6582307187538,4616.326218555975,144.77377306005064,0,0.0
2024-01-12,953.4270246429743,5436.160318360339,161.61269099792895,0,0.0
2024-01-13,1024.1962271566035,5091.671002869176,181.25544266912965,0,0.0
2024-01-14,808.6719755342202,6094.901466608836,200.782731506325,0,0.0
2024-01-15,827.5082167486967,4595.850857322424,215.5297706140737,0,0.0
2024-01-16,943.7712470759027,4580.139078909612,178.22768560539603,0,0.0
2024-01-17,898.7168879665576,4700.303677277989,205.60300293431234,0,0.0
2024-01-18,1031.4247332595273,3938.0521378450967,177.33851202940033,0,0.0
2024-01-19,909.197592447879,4737.122489159619,181.65446591024156,0,0.0
2024-01-20,858.7696298664708,4620.433669223151,157.80016709455333,0,0.0
2024-01-21,1146.5648768921553,5075.196893238104,172.30300261667287,0,0.0
2024-01-22,977.4223699513465,5170.87798788858,159.44946183151,0,0.0
2024-01-23,1006.7528204687924,5938.085419607944,170.72380241068,0,0.0
2024-01-24,857.5251813786543,5475.211919093025,231.60925389823518,0,0.0
2024-01-25,945.5617275474817,4711.548172168798,171.5180333350417,0,0.0
2024-01-26,1011.0922589709866,4550.792664325821,278.97146194512175,0,0.0
2024-01-27,884.9006422577697,5245.959585753253,214.79953702642666,0,0.0
2024-01-28,1037.5698018345672,4339.8833964896785,205.54508371084623,0,0.0
2024-01-29,939.9361310081194,5915.729382927177,174.2492665945636,0,0.0
2024-01-30,970.8306250206723,5589.720060360643,221.00929638226975,0,0.0
2024-01-31,939.8293387770603,4765.412173947648,182.73086521286677,0,0.0
2024-02-01,1185.2278184508937,4143.432735454561,203.66029443936085,0,0.0
2024-02-02,998.6502775262067,5676.936187082706,276.80253614806384,0,0.0
2024-02-03,894.2289071044099,4942.730077373691,197.1182030082605,0,0.0
2024-02-04,1082.254491210319,5618.908155986731,234.47819978857027,0,0.0
2024-02-05,877.9156350028977,4202.786170602816,178.90470724622338,0,0.0
2024-02-06,1020.8863595004756,4700.312488523114,198.95034528509115,0,0.0
2024-02-07,804.0329876120225,5002.6218498590915,253.1240190690653,0,0.0
2024-02-08,867.1813951101569,5023.490296882371,181.190988266367,0,0.0
2024-02-09,1019.6861235869123,4774.967264260378,254.37345673990785,0,0.0
2024-02-10,1073.846657999541,5311.424966173749,221.23255806366427,0,0.0
2024-02-11,1017.1368281189971,4466.189785308703,183.12599672317197,0,0.0
2024-02-12,988.435171761176,4928.810257489353,218.97223217166564,0,0.0
2024-02-13,969.8896304410712,5060.147815855949,229.17663348880188,0,0.0
2024-02-14,852.1478009632573,5257.219417029374,218.6542988665159,0,0.0
2024-02-15,928.0155791605291,5355.807439044445,152.89325840328632,0,0.0
2024-02-16,953.9361229040212,4437.678954081065,178.18588472525394,0,0.0
2024-02-17,1105.7122226218917,4232.942914632189,192.57444093345487,0,0.0
2024-02-18,1034.3618289568462,5638.8384109492545,197.7669971269986,0,0.0
2024-02-19,823.6959844637266,5166.157005989796,218.62016292652035,0,0.0
2024-02-20,1032.4083969394794,4625.756731721724,205.33103002799763,0,0.0
2024-02-21,961.4917719583683,5775.575987761262,159.93966923869698,0,0.0
2024-02-22,932.3077999694042,5057.837317146429,211.4059355301789,0,0.0
2024-02-23,1061.1676288840868,5589.648592031914,218.3175723585147,0,0.0
2024-02-24,1103.0999522495952,5033.759240705054,216.7937134379312,0,0.0
2024-02-25,1093.1280119116198,6030.373962440994,232.42342176663865,0,0.0
2024-02-26,916.0782476777362,5877.670421221602,225.01766463646712,0,0.0
2024-02-27,969.0787624148785,4875.517925760463,213.7754023768531,0,0.0
2024-02-28,1033.1263431403563,5485.785475477178,197.89502865624058,0,0.0
2024-02-29,1097.554512712236,5322.687974792574,150.17117199452025,0,0.0
2024-03-01,952.082576215471,5684.315778766174,212.88854657397758,0,0.0
2024-03-02,981.4341023336183,4517.538269709948,206.23063061489333,0,0.0
2024-03-03,889.3665025993972,5343.02572999922,208.1473651158612,0,0.0
2024-03-04,880.3793375919329,5529.212243424794,161.69754272539072,0,0.0
2024-03-05,1081.2525822394198,4120.630256788443,167.56830378775214,0,0.0
2024-03-06,1135.6240028570824,4408.370743667112,231.5945855999871,0,0.0
2024-03-07,992.7989878419667,3980.3839111199495,198.81334538430036,0,0.0
2024-03-08,1100.3532897892023,4865.296582777721,220.44502092117872,0,0.0
2024-03-09,1036.1636025047635,5358.771127897981,200.84955128391383,0,0.0
2024-03-10,935.4880245394876,5751.178526048014,200.89268418487237,0,0.0
2024-03-11,1036.1395605508415,5037.047390209887,228.14851417927994,0,0.0
2024-03-12,1153.803656646597,5814.307772785646,184.51865815347878,0,0.0
2024-03-13,996.4173960890048,4309.9492708925545,202.8836233082295,0,0.0
2024-03-14,1156.4643655814007,4148.3087803224225,186.1317413388487,0,0.0
2024-03-15,738.0254895910256,4972.226150551691,186.96511317703053,0,0.0
2024-03-16,1082.1902504375223,5192.032724469654,190.7248362959408,0,0.0
2024-03-17,1008.7047068238171,4983.652625952954,206.6640131490114,0,0.0
2024-03-18,970.0992649534132,3966.278949980062,185.6375413500957,0,0.0
2024-03-19,1009.1760776535502,4955.4399802436055,237.67268376720563,0,0.0
2024-03-20,801.2431085399107,4347.765249747574,173.1617809334149,0,0.0
2024-03-21,978.0328112162488,5334.836274415019,194.39385067515923,0,0.0
2024-03-22,1035.7112571511746,5183.299123048424,186.80806825177476,0,0.0
2024-03-23,1147.7894044741515,4530.060106836322,243.409336530612,0,0.0
2024-03-24,948.1729781726352,4743.066541331653,205.89664329534725,0,0.0
2024-03-25,919.1506397106813,4470.393239055524,230.95533618405904,0,0.0
2024-03-26,949.8242956415463,4968.660451363414,155.43318880889083,0,0.0
2024-03-27,1091.5402117702074,5477.571160250619,208.01150797607778,0,0.0
2024-03-28,1032.8751109659684,4507.136976832228,226.6889238687031,0,0.0
2024-03-29,947.0239796232961,5252.023257758922,202.46851967826274,0,0.0
2024-03-30,1051.3267433113356,4734.871190813779,231.96441125196054,0,0.0
2024-03-31,1009.707754934804,4603.563583868828,184.48134649698883,0,0.0
2024-04-01,1096.864499053289,4946.484820022721,242.2804232055674,0,0.0
2024-04-02,929.7946906122647,4482.378838790313,268.9669437085775,0,0.0
2024-04-03,967.2337853402232,4723.175347326409,189.11484318681022,0,0.0
2024-04-04,960.7891846867842,4401.061053705575,186.63492435797684,0,0.0
2024-04-05,853.6485051867882,5982.362566458195,243.60153431353103,0,0.0
2024-04-06,1029.6120277064576,5017.631775985864,247.38716437192136,0,0.0
2024-04-07,1026.105527217989,4650.137246003707,184.31419918540195,0,0.0
2024-04-08,1000.511345664246,5106.989955367111,187.39439548712429,0,0.0
2024-04-09,976.5412866624853,4943.835975154585,191.5464617341848,0,0.0
2024-04-10,858.4629257949586,4889.515200233389,159.6664846689717,0,0.0
2024-04-11,957.9354677234641,5307.083350021712,172.44044160547406,0,0.0
2024-04-12,965.728548347323,5378.753855023652,169.87577699743795,0,0.0
2024-04-13,919.7722730778381,4734.749426194736,176.96607304687615,0,0.0
2024-04-14,983.8714288333991,4712.09087967766,198.95945337839657,0,0.0
2024-04-15,1040.4050856814538,4862.474151424178,207.0264419760956,0,0.0
2024-04-16,1188.618590121053,3849.039417632208,246.5150147844223,0,1.0
2024-04-17,1017.4577812831839,4242.404468900724,170.04937877783627,0,0.0
2024-04-18,1025.7550390722765,5683.437133722262,229.5296719542975,0,0.0
2024-04-19,992.5554084233833,5822.483856750642,193.58033467323474,0,0.0
2024-04-20,808.1228784700959,4875.481980221811,198.516088710427,0,0.0
2024-04-21,997.3486124550783,5288.278481527883,220.2445847649981,0,0.0
2024-04-22,1006.0230209941027,5155.625077271768,166.31833935313105,0,0.0
2024-04-23,1246.3242112485286,6539.440404227619,211.4722923855215,1,0.0
2024-04-24,980.7639035218878,5559.787455717288,204.99356624639168,0,0.0
2024-04-25,1030.1547342333613,4936.041204259616,214.77353792024448,0,0.0
2024-04-26,996.5288230294757,4522.229779699787,208.67505931723454,0,0.0
2024-04-27,883.1321962380468,4196.776839871214,273.6590041973268,0,0.0
2024-04-28,1114.282281451502,5101.731817933612,180.86780047246052,0,0.0
2024-04-29,1075.1933032686775,4621.824627357848,184.07009134994547,0,0.0
2024-04-30,1079.1031947043048,4288.873145201163,181.30578420725706,0,0.0
2024-05-01,909.0612545205261,4676.7135578787365,183.33568642519236,0,0.0
2024-05-02,1140.27943109361,4459.225998192803,180.87838618080445,0,0.0
2024-05-03,859.8148937207719,5843.570817536282,235.67049593322656,0,0.0
2024-05-04,1058.685709380027,5440.819878474726,242.61512743969564,0,0.0
2024-05-05,1219.0455625809977,4996.013679341691,182.8776111875157,0,0.0
2024-05-06,900.9463674869312,5739.972069445013,175.02933280687313,0,0.0
2024-05-07,943.3702270397227,5038.6841538238095,214.14246669159212,0,0.0
2024-05-08,1009.9651365087641,4569.357899335868,183.43330867157087,0,0.0
2024-05-09,949.6524345883801,5761.562038634828,218.98795453266533,0,0.0
2024-05-10,844.9336568933868,5269.455021842329,206.08769062553898,0,0.0
2024-05-11,1006.8562974806027,4481.376922836772,154.52767655008304,0,0.0
2024-05-12,893.7696286273895,4904.830660958196,246.42515603990185,0,0.0
2024-05-13,1047.359243063518,4562.190873307622,253.87633019286565,0,0.0
2024-05-14,908.0575765766197,4308.600134517832,181.61633928546843,0,0.0
2024-05-15,1154.9934405017539,5463.08877376582,188.36895320192048,0,0.0
2024-05-16,921.6746707663763,5954.708320235065,208.57596172174715,0,0.0
2024-05-17,967.7938483794325,4300.716213090429,210.03370369961075,0,0.0
2024-05-18,1081.351721736967,5281.4846183452855,219.7563281801849,0,0.0
2024-05-19,876.9135683566045,4674.678715439087,260.30613616299047,0,0.0
2024-05-20,1022.7459934604129,4756.437308117652,194.69158317517852,0,0.0
2024-05-21,1130.714275428243,4703.803037880565,176.0510826638464,0,0.0
2024-05-22,839.2516765438772,4568.004615160092,158.62042315956418,0,0.0
